Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,177.38,178.73,173.6,174.68,4640376.0,174.68
2018-03-26,174.11,176.8,173.515,176.38,7123755.0,176.38
2018-03-23,176.24,177.56,171.56,171.8,5851950.0,171.8
2018-03-22,177.42,178.56,175.08,175.29,5049280.0,175.29
2018-03-21,178.35,180.14,177.68,178.02,3472629.0,178.02
2018-03-20,177.64,178.8883,177.16,178.16,4103461.0,178.16
2018-03-19,178.65,179.32,176.0,177.1,4501096.0,177.1
2018-03-16,178.43,180.4,177.97,178.96,7939123.0,178.96
2018-03-15,177.69,179.86,176.72,178.07,3747456.0,178.07
2018-03-14,179.1,179.66,175.89,177.41,4520695.0,177.41
2018-03-13,179.59,180.95,177.86,178.35,6089272.0,178.35
2018-03-12,182.43,183.06,179.55,179.71,4951429.0,179.71
2018-03-09,179.0,182.24,177.92,182.16,4412928.0,182.16
2018-03-08,179.44,179.98,176.73,177.94,4219789.0,177.94
2018-03-07,178.82,180.0,176.82,178.58,4799246.0,178.58
2018-03-06,182.75,183.0,179.51,181.64,5302091.0,181.64
2018-03-05,177.86,182.26,177.7,181.74,5748553.0,181.74
2018-03-02,177.72,179.185,176.34,178.46,5671038.0,178.46
2018-03-01,182.75,184.4,178.25,179.64,6123863.0,179.64
2018-02-28,184.41,186.6495,182.27,182.27,6313166.0,182.27
2018-02-27,188.87,189.25,184.96,184.98,4587554.0,184.98
2018-02-26,189.17,189.79,187.8601,188.46,4384908.0,188.46
2018-02-23,186.2,188.41,185.62,188.35,4219309.0,188.35
2018-02-22,183.72,186.2199,182.91,185.47,5553659.0,185.47
2018-02-21,187.21,187.98,182.86,183.06,7508615.0,183.06
2018-02-20,189.9,191.44,186.31,186.71,8746130.0,186.71
2018-02-16,185.06,187.99,184.86,186.97,7565848.0,186.97
2018-02-15,186.74,187.19,183.255,185.27,5078846.0,185.27
2018-02-14,181.88,185.06,181.05,184.69,6506394.0,184.69
2018-02-13,183.23,183.99,180.89,183.72,4259241.0,183.72
2018-02-12,186.55,187.01,183.41,184.06,6741208.0,184.06
2018-02-09,183.25,186.0,175.79,184.12,9029210.0,184.12
2018-02-08,191.14,191.14,180.93,181.22,7207421.0,181.22
2018-02-07,190.73,194.515,189.72,191.29,5957101.0,191.29
2018-02-06,178.62,191.96,175.42,191.04,11647438.0,191.04
2018-02-05,190.07,194.295,180.38,183.11,10331341.0,183.11
2018-02-02,199.25,199.3,193.44,193.97,5995623.0,193.97
2018-02-01,199.34,202.25,198.28,199.9,3552226.0,199.9
2018-01-31,203.22,205.083,200.23,200.9,4487502.0,200.9
2018-01-30,201.47,203.15,191.57,201.81,5923556.0,201.81
2018-01-29,207.23,207.605,204.71,204.92,2999591.0,204.92
2018-01-26,205.6,207.3098,204.44,207.23,3655333.0,207.23
2018-01-25,206.8,206.83,203.84,205.37,3533782.0,205.37
2018-01-24,205.2,207.1,204.551,206.22,4065050.0,206.22
2018-01-23,204.89,206.35,204.15099999999998,204.9,3552418.0,204.9
2018-01-22,201.6,204.47,201.51,204.46,4450374.0,204.46
2018-01-19,199.81,201.33,199.13,201.33,5786379.0,201.33
2018-01-18,199.78,200.24,197.66,198.33,4313752.0,198.33
2018-01-17,197.5,199.82,196.8401,199.82,3988075.0,199.82
2018-01-16,197.86,198.9496,195.7,196.31,5653697.0,196.31
2018-01-12,195.5,199.42,194.82,196.42,6726295.0,196.42
2018-01-11,191.68,194.73,191.4,194.68,3326194.0,194.68
2018-01-10,192.76,193.21599999999998,191.65,191.8,3110852.0,191.8
2018-01-09,192.7,193.47,191.64,193.1,3006571.0,193.1
2018-01-08,191.72,193.72,191.6,192.04,3490089.0,192.04
2018-01-05,190.93,192.54,190.51,192.5,4214521.0,192.5
2018-01-04,189.87,190.87,188.47,190.51,4029021.0,190.51
2018-01-03,188.0,189.36,187.81900000000002,189.01,4527396.0,189.01
2018-01-02,190.21,190.72,188.0103,188.03,4475920.0,188.03
2017-12-29,190.74,190.74,189.53,189.53,4607719.0,189.53
2017-12-28,190.91,190.98,189.64,189.78,3118560.0,189.78
2017-12-27,190.6,191.49,190.01,190.19,5347377.0,190.19
2017-12-26,188.53,190.42,188.34,190.36,2879194.0,190.36
2017-12-22,188.2,188.46,187.27,188.13,3104351.0,188.13
2017-12-21,187.7,188.84,187.44,188.08,5801612.0,188.08
2017-12-20,187.14,187.9024,186.035,187.31,4726785.0,187.31
2017-12-19,185.235,186.72,184.6,185.98,4480945.0,185.98
2017-12-18,183.96,185.47,183.5,184.73,4990796.0,184.73
2017-12-15,183.005,183.21,182.13,182.58,7782107.0,182.58
2017-12-14,183.88,184.0,182.06,182.13,3539213.0,182.13
2017-12-13,182.01,183.67,182.0,183.03,5148057.0,183.03
2017-12-12,182.75,183.21,181.66,181.8,5272560.0,181.8
2017-12-11,182.9,182.96,181.1201,182.25,5522127.0,182.25
2017-12-08,182.5,183.9,182.16,183.41,5064555.0,183.41
2017-12-07,180.05,182.58,179.77,182.0,5482576.0,182.0
2017-12-06,180.25,182.15,178.68,180.8,6887074.0,180.8
2017-12-05,184.79,184.91,182.2589,182.85,6214259.0,182.85
2017-12-04,183.19,186.31,183.19,184.9,5833689.0,184.9
2017-12-01,180.32,180.6,176.7,180.42,4603532.0,180.42
2017-11-30,178.07,180.67,177.41,179.82,8981931.0,179.82
2017-11-29,176.57,178.43,175.68,177.25,4864527.0,177.25
2017-11-28,174.89,176.77,172.9911,176.57,5942994.0,176.57
2017-11-27,172.87,174.91,172.38,174.16,4539144.0,174.16
2017-11-24,172.11,173.1,171.7425,172.33,1853587.0,172.33
2017-11-22,172.89,172.94,172.04,172.06,4130275.0,172.06
2017-11-21,170.53,172.86,170.15,172.86,6223225.0,172.86
2017-11-20,168.14,170.69,167.8,170.45,4624157.0,170.45
2017-11-17,167.0,168.43,166.06,167.74,4520609.0,167.74
2017-11-16,166.68,167.76,166.06,167.5,4454180.0,167.5
2017-11-15,167.44,167.44,165.35,165.47,5326724.0,165.47
2017-11-14,163.62,168.14,163.15,168.06,10160167.0,168.06
2017-11-13,164.64,166.64,164.25,165.35,7118621.0,165.35
2017-11-10,163.34,164.58,162.93,164.11,3552646.0,164.11
2017-11-09,164.1,164.135,162.28,163.27,3381237.0,163.27
2017-11-07,164.09,164.4,162.83,163.66,3190853.0,163.66
2017-11-06,164.8,164.88,163.01,164.22,3272666.0,164.22
2017-11-03,163.01,164.99,162.68,164.39,3077874.0,164.39
2017-11-02,165.01,165.01,160.53,162.71,6496764.0,162.71
2017-11-01,166.42,166.74,165.12,165.38,3555060.0,165.38
2017-10-31,165.4,166.34,165.1,165.78,2893321.0,165.78
2017-10-30,166.99,166.99,164.88,165.31,3895193.0,165.31
2017-10-27,166.8,167.75,166.46,167.34,3710088.0,167.34
2017-10-26,166.39,167.94,166.1068,167.65,3722141.0,167.65
2017-10-25,166.11,166.95,165.3803,166.1076,2945450.0,166.1076
2017-10-24,164.67,166.46,164.65,166.03,3360320.0,166.03
2017-10-23,164.04,166.265,163.75,164.74,3988453.0,164.74
2017-10-20,163.97,164.15,162.74,163.43,4083324.0,163.43
2017-10-19,163.5,164.11,162.77,163.24,2670126.0,163.24
2017-10-18,163.42,164.24,163.35,163.45,2757940.0,163.45
2017-10-17,164.22,164.92,161.5111,163.35,4145936.0,163.35
2017-10-16,164.47,164.67,163.26,164.22,2581856.0,164.22
2017-10-13,164.92,166.0699,164.35,164.47,3183629.0,164.47
2017-10-12,165.41,165.41,164.47,164.59,3389934.0,164.59
2017-10-11,165.19,165.865,164.45,165.25,2301663.0,165.25
2017-10-10,165.7,165.8,164.64,165.16,2746969.0,165.16
2017-10-09,166.14,166.63,165.42,165.71,2124627.0,165.71
2017-10-06,166.18,166.63,165.74,165.85,2871871.0,165.85
2017-10-05,165.07,166.25,164.26,166.12,3346573.0,166.12
2017-10-04,165.49,166.08,164.91,165.29,2738421.0,165.29
2017-10-03,164.06,165.28,164.0,165.17,2998011.0,165.17
2017-10-02,164.2,164.25,163.22,164.02,2616352.0,164.02
2017-09-29,162.5,163.61,162.15,163.56,3441094.0,163.56
2017-09-28,160.72,162.45,160.66,162.36,4594010.0,162.36
2017-09-27,161.38,161.69,160.14,160.92,3852745.0,160.92
2017-09-26,161.55,162.0,160.79,161.26,3064373.0,161.26
2017-09-25,160.05,161.43,159.75,161.1,4814613.0,161.1
2017-09-22,159.14,160.09,159.01,159.97,3259206.0,159.97
2017-09-21,158.87,159.556,158.72,159.19,2888966.0,159.19
2017-09-20,157.57,159.39,157.36,158.68,4510411.0,158.68
2017-09-19,157.8,158.32,157.16,157.66,3665118.0,157.66
2017-09-18,159.0,159.0,157.69,157.81,3989999.0,157.81
2017-09-15,159.98,159.99,158.29,158.4,9003849.0,158.4
2017-09-14,160.35,160.85,159.33,159.38,5276053.0,159.38
2017-09-13,160.39,161.38,159.55,160.02,4635980.0,160.02
2017-09-12,159.06,160.93,158.71,159.91,5776559.0,159.91
2017-09-11,158.42,158.74,156.22,158.37,8728267.0,158.37
2017-09-08,159.09,160.69,157.52,159.66,9984231.0,159.66
